City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Kaabong,UG,2021-01-17 23:02:00,3.4836,34.1492,69.64,52,72,5.95
153,Mar Del Plata,AR,2021-01-17 23:01:36,-38.0023,-57.5575,63.0,77,75,12.66
154,Athabasca,CA,2021-01-17 23:02:01,54.7169,-113.2854,33.8,93,100,9.22
155,Shingu,JP,2021-01-17 23:02:01,33.7333,135.9833,35.6,64,20,10.36
156,Korla,CN,2021-01-17 23:02:01,41.7597,86.1469,14.13,82,7,0.65
157,Deputatskiy,RU,2021-01-17 23:02:01,69.3,139.9,-35.32,85,97,1.45
158,Rangapara,IN,2021-01-17 23:02:02,26.8167,92.65,59.11,67,6,3.69
159,Naze,JP,2021-01-17 23:02:02,28.3667,129.4833,50.0,81,40,10.36
160,Suba,PH,2021-01-17 23:02:02,10.8438,121.0102,80.94,81,96,20.54
161,Qasigiannguit,GL,2021-01-17 23:02:02,68.8193,-51.1922,21.2,79,75,13.8
162,Jinchang,CN,2021-01-17 23:02:03,38.4953,102.1739,23.23,58,0,3.85
163,Arraial Do Cabo,BR,2021-01-17 22:59:07,-22.9661,-42.0278,77.0,78,0,17.27
164,Souillac,MU,2021-01-17 23:02:03,-20.5167,57.5167,78.8,78,75,11.5
165,Nemuro,JP,2021-01-17 23:02:03,43.3236,145.575,23.29,94,97,8.23
166,Vila Velha,BR,2021-01-17 22:57:57,-20.3297,-40.2925,79.0,78,20,12.66
167,Gunnedah,AU,2021-01-17 23:02:04,-30.9833,150.25,72.0,57,99,6.04
168,Chauk,MM,2021-01-17 23:02:04,20.8833,94.8167,62.1,61,0,5.48
169,Chuy,UY,2021-01-17 23:02:04,-33.6971,-53.4616,68.32,64,67,9.22
170,Aksay,RU,2021-01-17 23:02:04,47.26,39.87,18.0,93,90,13.42
171,Georgetown,MY,2021-01-17 22:58:02,5.4112,100.3354,78.8,61,20,12.66
172,Henties Bay,NA,2021-01-17 23:02:04,-22.116,14.2845,68.0,85,62,5.35
173,Poum,NC,2021-01-17 23:02:05,-20.2333,164.0167,82.44,81,79,14.29
174,Paamiut,GL,2021-01-17 23:02:05,61.994,-49.6678,27.86,93,100,8.9
