City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
127,Fort Atkinson,US,2021-01-18 01:17:36,42.9289,-88.8371,28.99,88,100,1.01,overcast clouds
128,Cidreira,BR,2021-01-18 01:09:15,-30.1811,-50.2056,73.11,93,100,13.56,overcast clouds
129,Kaputa,ZM,2021-01-18 01:17:36,-8.4689,29.6619,66.85,84,94,3.49,overcast clouds
130,Ribeira Grande,PT,2021-01-18 01:05:14,38.5167,-28.7,62.67,79,86,27.74,light rain
131,Macherla,IN,2021-01-18 01:17:36,16.4833,79.4333,65.91,88,0,3.87,clear sky
132,Los Llanos De Aridane,ES,2021-01-18 01:09:29,28.6585,-17.9182,62.6,63,90,8.05,overcast clouds
133,Denpasar,ID,2021-01-18 01:14:33,-8.65,115.2167,78.8,94,75,5.75,broken clouds
134,Kruisfontein,ZA,2021-01-18 01:11:48,-34.0033,24.7314,68.0,76,57,1.01,broken clouds
135,Svetlaya,RU,2021-01-18 01:17:37,46.5389,138.3297,7.02,77,3,5.01,clear sky
136,Altay,CN,2021-01-18 01:17:37,47.8667,88.1167,12.11,64,84,2.13,broken clouds
137,Praia Da Vitoria,PT,2021-01-18 01:10:43,38.7333,-27.0667,61.0,94,75,23.76,broken clouds
138,Luangwa,ZM,2021-01-18 01:17:37,-15.6167,30.4167,74.28,89,100,1.3,light rain
139,Sitka,US,2021-01-18 01:11:06,57.0531,-135.33,42.8,81,75,5.75,light snow
140,Exeter,GB,2021-01-18 01:17:38,50.7236,-3.5275,37.99,94,98,7.09,overcast clouds
141,Atar,MR,2021-01-18 01:17:38,20.5169,-13.0499,63.27,25,100,14.79,overcast clouds
142,Saldanha,ZA,2021-01-18 01:15:46,-33.0117,17.9442,64.4,77,0,4.61,clear sky
143,Cherskiy,RU,2021-01-18 01:11:50,68.75,161.3,-32.49,83,99,2.1,overcast clouds
144,Fayaoue,NC,2021-01-18 01:17:40,-20.65,166.5333,83.19,75,97,5.77,overcast clouds
145,Cayenne,GF,2021-01-18 01:10:47,4.9333,-52.3333,78.8,89,20,8.05,few clouds
146,Avarua,CK,2021-01-18 01:17:40,-21.2078,-159.775,86.0,62,100,8.05,overcast clouds
147,Howard Springs,AU,2021-01-18 01:17:40,-12.497,131.047,84.99,70,75,11.5,broken clouds
148,Sovetskiy,RU,2021-01-18 01:17:40,61.3614,63.5842,-14.19,89,92,6.62,overcast clouds
149,Lanquin,GT,2021-01-18 01:17:40,15.5667,-89.9667,62.6,88,90,6.91,overcast clouds
150,Natal,BR,2021-01-18 01:17:40,-5.795,-35.2094,80.6,69,20,11.5,few clouds
151,Tyrma,RU,2021-01-18 01:17:41,50.0833,132.1667,-8.23,86,98,1.19,overcast clouds
152,Caucaia,BR,2021-01-18 01:17:41,-3.7361,-38.6531,82.4,69,20,11.5,moderate rain
153,Chuy,UY,2021-01-18 01:17:41,-33.6971,-53.4616,65.03,71,36,8.93,scattered clouds
154,Agapovka,RU,2021-01-18 01:17:41,53.2973,59.1348,-5.8,77,40,6.71,scattered clouds
155,Sakakah,SA,2021-01-18 01:17:42,29.9697,40.2064,44.6,57,0,5.75,clear sky
156,Ponta Do Sol,PT,2021-01-18 01:17:42,32.6667,-17.1,55.99,61,94,1.01,overcast clouds
157,El Estor,GT,2021-01-18 01:17:42,15.5333,-89.35,78.8,50,75,9.22,broken clouds
158,Chokurdakh,RU,2021-01-18 01:17:42,70.6333,147.9167,-27.02,85,100,6.98,overcast clouds
159,Kavieng,PG,2021-01-18 01:17:42,-2.5744,150.7967,85.41,71,10,18.59,clear sky
160,Broken Hill,AU,2021-01-18 01:05:47,-31.95,141.4333,69.8,40,0,14.97,clear sky
161,Aksu,CN,2021-01-18 01:17:43,41.1231,80.2644,10.24,86,0,2.53,clear sky
162,Kitui,KE,2021-01-18 01:17:43,-1.367,38.0106,62.38,90,0,1.34,clear sky
163,Kalmar,SE,2021-01-18 01:17:43,56.6616,16.3616,26.01,93,90,3.44,light snow
164,Mount Gambier,AU,2021-01-18 01:15:19,-37.8333,140.7667,60.8,88,90,16.11,overcast clouds
165,Susurluk,TR,2021-01-18 01:17:43,39.9136,28.1578,32.0,80,75,6.91,broken clouds
166,Ziway,ET,2021-01-18 01:17:43,7.9333,38.7167,61.07,41,85,11.81,overcast clouds
167,Provideniya,RU,2021-01-18 01:08:56,64.3833,-173.3,1.4,71,90,13.42,light snow
168,Bethel,US,2021-01-18 01:13:45,41.3712,-73.414,39.99,56,90,9.22,overcast clouds
169,Pacific Grove,US,2021-01-18 01:11:08,36.6177,-121.9166,69.8,40,1,4.61,clear sky
170,Zhezkazgan,KZ,2021-01-18 01:10:50,47.8043,67.7144,13.37,94,98,5.28,overcast clouds
